districtid,monthid,statemean,statestdev
302,6,1094.44,1094.44
303,1,0,0
303,2,0,0
303,3,0,0
303,4,0,0
303,5,0,0
303,6,0,0
304,1,0,0
304,2,4.07,4.07
304,3,64.8,64.8
304,4,75.93,75.93
304,5,587.87,587.87
304,6,1145.53,1145.53
305,1,0,0
305,2,0.17,0.17
305,3,108.67,108.67
305,4,141,141
305,5,530.33,530.33
305,6,1109.33,1109.33
306,1,0,0
306,2,20.02,20.02
306,3,103.72,103.72
306,4,287.19,287.19
306,5,1467.49,1467.49
306,6,2014.91,2014.91
307,1,0,0
307,2,703.96,703.96
307,3,2982.25,2982.25
307,4,5973.12,5973.12
307,5,10469.42,10469.42
307,6,12776.04,12776.04
308,1,0,0
308,2,18.23,18.23
308,3,135.88,135.88
308,4,275.27,275.27
308,5,1934.69,1934.69
308,6,1556.38,1556.38
309,1,0,0
309,2,20.36,20.36
309,3,102.76,102.76
309,4,281.69,281.69
309,5,1425.12,1425.12
309,6,1904.76,1904.76
310,1,0,0
310,2,4.36,4.36
310,3,63.14,63.14
310,4,78.36,78.36
310,5,606.14,606.14
310,6,1188.07,1188.07
311,1,0,0
311,2,43.41,43.41
311,3,123.12,123.12
311,4,143.24,143.24
311,5,450.38,450.38
311,6,666.29,666.29
312,1,0,0
312,2,70.67,70.67
312,3,154.67,154.67
312,4,1330.11,1330.11
312,5,13948.89,13948.89
312,6,16984.67,16984.67
313,1,0,0
313,2,68.43,68.43
313,3,45,45
313,4,272,272
313,5,952.93,952.93
313,6,1800.57,1800.57
314,1,0,0
314,2,16.69,16.69
314,3,100.75,100.75
314,4,343.12,343.12
314,5,726,726
314,6,1313.19,1313.19
315,1,0,0
315,2,43.91,43.91
315,3,120.24,120.24
315,4,127.67,127.67
315,5,398.64,398.64
315,6,591.03,591.03
316,1,0,0
316,2,1.78,1.78
316,3,27.56,27.56
316,4,59.11,59.11
316,5,213.44,213.44
316,6,307.11,307.11
317,1,0,0
317,2,20.83,20.83
317,3,104.32,104.32
317,4,286.9,286.9
317,5,1452.93,1452.93
317,6,1943.76,1943.76
318,1,0,0
318,2,101.71,101.71
318,3,314.29,314.29
318,4,402.59,402.59
318,5,984.88,984.88
318,6,1221.71,1221.71
319,1,0,0
319,2,20.48,20.48
319,3,103.15,103.15
319,4,276.9,276.9
319,5,1476.33,1476.33
319,6,1981.2,1981.2
320,1,0,0
320,2,45.19,45.19
320,3,123.84,123.84
320,4,129.53,129.53
320,5,406.19,406.19
320,6,601.41,601.41
321,1,0,0
321,2,20.95,20.95
321,3,102.23,102.23
321,4,279.87,279.87
321,5,1482.59,1482.59
321,6,1998.56,1998.56
322,1,0,0
322,2,1.71,1.71
322,3,120.86,120.86
322,4,140.57,140.57
322,5,454.14,454.14
322,6,930.14,930.14
323,1,0,0
323,2,8.53,8.53
323,3,239.2,239.2
323,4,459,459
323,5,2883,2883
323,6,4336.53,4336.53
324,1,0,0
324,2,21.11,21.11
324,3,103.95,103.95
324,4,283.32,283.32
324,5,1517.84,1517.84
324,6,2042.13,2042.13
325,1,0,0
325,2,8.93,8.93
325,3,254.93,254.93
325,4,471.86,471.86
325,5,2972.86,2972.86
325,6,4421.21,4421.21
326,1,0,0
326,2,4.15,4.15
326,3,58.62,58.62
326,4,74.85,74.85
326,5,601.92,601.92
326,6,1189.77,1189.77
327,1,0,0
327,2,732.26,732.26
327,3,3104.3,3104.3
327,4,6228.26,6228.26
327,5,10903.13,10903.13
327,6,13293.43,13293.43
328,1,0,0
328,2,17.8,17.8
328,3,100.4,100.4
328,4,343.27,343.27
328,5,725.8,725.8
328,6,1291.8,1291.8
329,1,0,0
329,2,109.62,109.62
329,3,401.06,401.06
329,4,1091.31,1091.31
329,5,3810.06,3810.06
329,6,3818.19,3818.19
330,1,0,0
330,2,46.48,46.48
330,3,127.84,127.84
330,4,133.23,133.23
330,5,411.29,411.29
330,6,610.48,610.48
331,1,0,0
331,2,67.15,67.15
331,3,45,45
331,4,288.38,288.38
331,5,984.77,984.77
331,6,1851.77,1851.77
332,1,0,0
332,2,89.93,89.93
332,3,352.07,352.07
332,4,1008.6,1008.6
332,5,3654.2,3654.2
332,6,3806.93,3806.93
333,1,0,0
333,2,5.45,5.45
333,3,143.18,143.18
333,4,405.36,405.36
333,5,2145.18,2145.18
333,6,3583.64,3583.64
334,1,0,0
334,2,17,17
334,3,69.93,69.93
334,4,94.73,94.73
334,5,303.67,303.67
334,6,450.33,450.33
335,1,0,0
335,2,14.55,14.55
335,3,67.14,67.14
335,4,89.59,89.59
335,5,265.97,265.97
335,6,369.34,369.34
336,1,0,0
336,2,5.61,5.61
336,3,79.72,79.72
336,4,225,225
336,5,1009.5,1009.5
336,6,2560.94,2560.94
337,1,0,0
337,2,74.69,74.69
337,3,262.94,262.94
337,4,338.19,338.19
337,5,872.12,872.12
337,6,941.44,941.44
338,1,0,0
338,2,79.2,79.2
338,3,277.93,277.93
338,4,358.13,358.13
338,5,920.6,920.6
338,6,990.27,990.27
339,1,0,0
339,2,2.82,2.82
339,3,69.24,69.24
339,4,204.88,204.88
339,5,1024.59,1024.59
339,6,2552.65,2552.65
340,1,0,0
340,2,62.75,62.75
340,3,38.67,38.67
340,4,237.08,237.08
340,5,894.08,894.08
340,6,1645.92,1645.92
341,1,0,0
341,2,20.7,20.7
341,3,105.32,105.32
341,4,287.76,287.76
341,5,1542.05,1542.05
341,6,2079.59,2079.59
342,1,0,0
342,2,757.05,757.05
342,3,3184.77,3184.77
342,4,6317.27,6317.27
342,5,10964.45,10964.45
342,6,13199.23,13199.23
343,1,0,0
343,2,792.43,792.43
343,3,3325.29,3325.29
343,4,6583.19,6583.19
343,5,11405.95,11405.95
343,6,13720.76,13720.76
344,1,0,0
344,2,81.86,81.86
344,3,287.57,287.57
344,4,355.21,355.21
344,5,938.07,938.07
344,6,1052.79,1052.79
345,1,0,0
345,2,96.43,96.43
345,3,365.71,365.71
345,4,1052.14,1052.14
345,5,3820.57,3820.57
345,6,3919.86,3919.86
346,1,0,0
346,2,17.92,17.92
346,3,188.62,188.62
346,4,287.92,287.92
346,5,762.46,762.46
346,6,614.31,614.31
347,1,0,0
347,2,58.56,58.56
347,3,178.5,178.5
347,4,542.5,542.5
347,5,1081.94,1081.94
347,6,989.78,989.78
348,1,0,0
348,2,4.33,4.33
348,3,61.33,61.33
348,4,80.83,80.83
348,5,641.58,641.58
348,6,1260.58,1260.58
349,1,0,0
349,2,18.92,18.92
349,3,139.32,139.32
349,4,281.4,281.4
349,5,1971.84,1971.84
349,6,1597.68,1597.68
350,1,0,0
350,2,0.87,0.87
350,3,55.07,55.07
350,4,107.53,107.53
350,5,400.47,400.47
350,6,1342.67,1342.67
351,1,0,0
351,2,0.93,0.93
351,3,53.07,53.07
351,4,107.57,107.57
351,5,422.86,422.86
351,6,1418.43,1418.43
352,1,0,0
352,2,21.08,21.08
352,3,97.61,97.61
352,4,287.22,287.22
352,5,1525.78,1525.78
352,6,2106.81,2106.81
353,1,0,0
353,2,18.88,18.88
353,3,138.21,138.21
353,4,287.29,287.29
353,5,2008.62,2008.62
353,6,1620.17,1620.17
354,1,0,0
354,2,15,15
354,3,69.11,69.11
354,4,91.68,91.68
354,5,268.61,268.61
354,6,364.5,364.5
355,1,0,0
355,2,13.07,13.07
355,3,105.07,105.07
355,4,341.57,341.57
355,5,746.64,746.64
355,6,1349.14,1349.14
356,1,0,0
356,2,86.85,86.85
356,3,287.15,287.15
356,4,379.46,379.46
356,5,975.54,975.54
356,6,1058.92,1058.92
357,1,0,0
357,2,20.83,20.83
357,3,99.29,99.29
357,4,281.26,281.26
357,5,1504.37,1504.37
357,6,2112.03,2112.03
358,1,0,0
358,2,103.62,103.62
358,3,393.23,393.23
358,4,1132,1132
358,5,4108.77,4108.77
358,6,4206.69,4206.69
359,1,0,0
359,2,2.88,2.88
359,3,72.75,72.75
359,4,208.31,208.31
359,5,1069.75,1069.75
359,6,2642.38,2642.38
360,1,0,0
360,2,93.67,93.67
360,3,298.17,298.17
360,4,390.08,390.08
360,5,1035.25,1035.25
360,6,1112.33,1112.33
361,1,0,0
361,2,12.85,12.85
361,3,109.23,109.23
361,4,361.62,361.62
361,5,787.62,787.62
361,6,1417.62,1417.62
362,1,0,0
362,2,51.73,51.73
362,3,220.09,220.09
362,4,267.09,267.09
362,5,729.18,729.18
362,6,769.36,769.36
363,1,0,0
363,2,61.76,61.76
363,3,186.76,186.76
363,4,558.53,558.53
363,5,1092.18,1092.18
363,6,1007.65,1007.65
364,1,0,0
364,2,0.54,0.54
364,3,51.23,51.23
364,4,113.62,113.62
364,5,446.31,446.31
364,6,1502.31,1502.31
365,1,0,0
365,2,18.87,18.87
365,3,139.83,139.83
365,4,295.96,295.96
365,5,2071.87,2071.87
365,6,1665.17,1665.17
366,1,0,0
366,2,13.83,13.83
366,3,113.83,113.83
366,4,385.08,385.08
366,5,833.08,833.08
366,6,1452.33,1452.33
367,1,0,0
367,2,6.31,6.31
367,3,218,218
367,4,409.15,409.15
367,5,2771.54,2771.54
367,6,4372.69,4372.69
368,1,0,0
368,2,3.07,3.07
368,3,75.2,75.2
368,4,219.2,219.2
368,5,1110.4,1110.4
368,6,2751.2,2751.2
369,1,0,0
369,2,112.25,112.25
369,3,423.33,423.33
369,4,1224.83,1224.83
369,5,4440.25,4440.25
369,6,4528.75,4528.75
370,1,0,0
370,2,54.8,54.8
370,3,174.04,174.04
370,4,1435.68,1435.68
370,5,3873.36,3873.36
370,6,2928.24,2928.24
371,1,0,0
371,2,0,0
371,3,0.9,0.9
371,4,10.9,10.9
371,5,74.15,74.15
371,6,103.35,103.35
372,1,0,0
372,2,51.29,51.29
372,3,160.75,160.75
372,4,1372.33,1372.33
372,5,3665.42,3665.42
372,6,2814.62,2814.62
373,1,0,0
373,2,3.29,3.29
373,3,76.86,76.86
373,4,224.79,224.79
373,5,1136.93,1136.93
373,6,2845.29,2845.29
374,1,0,0
374,2,0.5,0.5
374,3,17.12,17.12
374,4,43.88,43.88
374,5,211.38,211.38
374,6,284,284
375,1,0,0
375,2,21.03,21.03
375,3,98.97,98.97
375,4,283.71,283.71
375,5,1523.24,1523.24
375,6,2157,2157
376,1,0,0
376,2,5.4,5.4
376,3,140.7,140.7
376,4,403.6,403.6
376,5,2252.7,2252.7
376,6,3697.4,3697.4
377,1,0,0
377,2,21.55,21.55
377,3,100.79,100.79
377,4,291.24,291.24
377,5,1556.82,1556.82
377,6,2198.21,2198.21
378,1,0,0
378,2,17.91,17.91
378,3,93.69,93.69
378,4,266.03,266.03
378,5,1383.53,1383.53
378,6,2022.56,2022.56
379,1,0,0
379,2,53.04,53.04
379,3,164.17,164.17
379,4,1379.96,1379.96
379,5,3588.26,3588.26
379,6,2791.22,2791.22
380,1,0,0
380,2,66.27,66.27
380,3,40.91,40.91
380,4,250.73,250.73
380,5,944.45,944.45
380,6,1704.09,1704.09
381,1,0,0
381,2,2,2
381,3,74,74
381,4,568.5,568.5
381,5,1909.5,1909.5
381,6,4708.5,4708.5
382,1,0,0
382,2,56.5,56.5
382,3,239.2,239.2
382,4,283.4,283.4
382,5,774.1,774.1
382,6,825.1,825.1
383,1,0,0
383,2,19,0
383,3,82,0
383,4,245,0
383,5,478,0
383,6,846,0
384,1,0,0
384,2,14.27,14.27
384,3,114.18,114.18
384,4,384.27,384.27
384,5,831.27,831.27
384,6,1371.55,1371.55
385,1,0,0
385,2,54.91,54.91
385,3,170.05,170.05
385,4,1437.55,1437.55
385,5,3721.95,3721.95
385,6,2874.73,2874.73
386,1,0,0
386,2,5.11,5.11
386,3,137.44,137.44
386,4,416.44,416.44
386,5,2247.89,2247.89
386,6,3780.22,3780.22
387,1,0,0
387,2,18.35,18.35
387,3,95.94,95.94
387,4,270.16,270.16
387,5,1416.16,1416.16
387,6,2073.52,2073.52
388,1,0,0
388,2,18.08,18.08
388,3,193.33,193.33
388,4,299.33,299.33
388,5,800,800
388,6,629.92,629.92
389,1,0,0
389,2,19.18,19.18
389,3,137.32,137.32
389,4,298.14,298.14
389,5,2063.45,2063.45
389,6,1645.36,1645.36
390,1,0,0
390,2,15.56,15.56
390,3,71.52,71.52
390,4,94.11,94.11
390,5,269.85,269.85
390,6,368.19,368.19
391,1,0,0
391,2,18.87,18.87
391,3,97.53,97.53
391,4,274.8,274.8
391,5,1452.87,1452.87
391,6,2124.6,2124.6
392,1,0,0
392,2,3,3
392,3,70.31,70.31
392,4,232.31,232.31
392,5,1193.85,1193.85
392,6,2954.31,2954.31
393,1,0,0
393,2,2.92,2.92
393,3,71.58,71.58
393,4,232,232
393,5,1229.08,1229.08
393,6,3097.5,3097.5
394,1,0,0
394,2,18.67,18.67
394,3,131.57,131.57
394,4,305.95,305.95
394,5,2101.57,2101.57
394,6,1691.95,1691.95
395,1,0,0
395,2,14.46,14.46
395,3,66.73,66.73
395,4,92.88,92.88
395,5,268,268
395,6,371.35,371.35
396,1,0,0
396,2,13.68,13.68
396,3,64.72,64.72
396,4,90.08,90.08
396,5,255.56,255.56
396,6,352.16,352.16
397,1,0,0
397,2,63.94,63.94
397,3,193.5,193.5
397,4,581.12,581.12
397,5,1132.56,1132.56
397,6,1054.06,1054.06
398,1,0,0
398,2,2.82,2.82
398,3,54,54
398,4,162.91,162.91
398,5,834.09,834.09
398,6,2130.27,2130.27
399,1,0,0
399,2,0.2,0.2
399,3,124.8,124.8
399,4,134.2,134.2
399,5,564,564
399,6,1219.2,1219.2
400,1,0,0
400,2,4.73,4.73
400,3,65.45,65.45
400,4,86.55,86.55
400,5,670.45,670.45
400,6,1327.09,1327.09
401,1,0,0
401,2,0.57,0.57
401,3,19.29,19.29
401,4,45.43,45.43
401,5,239.71,239.71
401,6,316.71,316.71
402,1,0,0
402,2,0,0
402,3,12.56,12.56
402,4,50.22,50.22
402,5,100.78,100.78
402,6,81.44,81.44
403,1,0,0
403,2,19.15,19.15
403,3,132.7,132.7
403,4,315.7,315.7
403,5,2159.35,2159.35
403,6,1719.15,1719.15
404,1,0,0
404,2,19.73,19.73
404,3,209,209
404,4,324.36,324.36
404,5,861.45,861.45
404,6,672.18,672.18
405,1,0,0
405,2,6.83,6.83
405,3,236,236
405,4,430.5,430.5
405,5,2953.67,2953.67
405,6,4660.25,4660.25
406,1,0,0
406,2,4.8,4.8
406,3,63.2,63.2
406,4,76.9,76.9
406,5,690.3,690.3
406,6,1361.4,1361.4
407,1,0,0
407,2,0,0
407,3,12.62,12.62
407,4,47.75,47.75
407,5,43.88,43.88
407,6,15.5,15.5
408,1,0,0
408,2,7,7
408,3,254.55,254.55
408,4,447.09,447.09
408,5,3061,3061
408,6,4915.55,4915.55
409,1,0,0
409,2,0,0
409,3,12.2,12.2
409,4,11.4,11.4
409,5,12.2,12.2
409,6,10,10
410,1,0,0
410,2,831.45,831.45
410,3,3458.6,3458.6
410,4,6890.25,6890.25
410,5,11505.3,11505.3
410,6,13671.5,13671.5
411,1,0,0
411,2,36.82,36.82
411,3,259.09,259.09
411,4,767.82,767.82
411,5,3064.18,3064.18
411,6,3726.09,3726.09
412,1,0,0
412,2,5,5
412,3,139,139
412,4,424.62,424.62
412,5,2310,2310
412,6,3917,3917
413,1,0,0
413,2,0.58,0.58
413,3,55.42,55.42
413,4,122.75,122.75
413,5,469.42,469.42
413,6,1605.75,1605.75
414,1,0,0
414,2,7.7,7.7
414,3,278.7,278.7
414,4,471.7,471.7
414,5,3128.6,3128.6
414,6,4911.7,4911.7
415,1,0,0
415,2,3,3
415,3,57.8,57.8
415,4,167,167
415,5,799.8,799.8
415,6,2076.8,2076.8
416,1,0,0
416,2,0.64,0.64
416,3,46.73,46.73
416,4,119.09,119.09
416,5,502.55,502.55
416,6,1702.64,1702.64
417,1,0,0
417,2,0.7,0.7
417,3,46.8,46.8
417,4,128,128
417,5,545.4,545.4
417,6,1833.7,1833.7
418,1,0,0
418,2,50.44,50.44
418,3,235.56,235.56
418,4,285.56,285.56
418,5,608.22,608.22
418,6,574.67,574.67
419,1,0,0
419,2,4.57,4.57
419,3,149.43,149.43
419,4,451,451
419,5,2441.43,2441.43
419,6,4053.29,4053.29
420,1,0,0
420,2,5.17,5.17
420,3,155.67,155.67
420,4,481.83,481.83
420,5,2487.67,2487.67
420,6,4077,4077
421,1,0,0
421,2,0,0
421,3,0.95,0.95
421,4,11.47,11.47
421,5,78.05,78.05
421,6,108.58,108.58
422,1,0,0
422,2,58,58
422,3,137.62,137.62
422,4,1263.38,1263.38
422,5,14658,14658
422,6,18202.12,18202.12
423,1,0,0
423,2,56.57,56.57
423,3,177.29,177.29
423,4,1495.76,1495.76
423,5,3838.71,3838.71
423,6,2966.14,2966.14
424,1,0,0
424,2,15.1,15.1
424,3,179.9,179.9
424,4,314,314
424,5,883.4,883.4
424,6,705,705
425,1,0,0
425,2,0.67,0.67
425,3,21.83,21.83
425,4,52.33,52.33
425,5,263.67,263.67
425,6,338.33,338.33
426,1,0,0
426,2,12.78,12.78
426,3,166.89,166.89
426,4,305.44,305.44
426,5,922.11,922.11
426,6,674.11,674.11
427,1,0,0
427,2,21.71,21.71
427,3,117.14,117.14
427,4,1082,1082
427,5,13031,13031
427,6,18151.86,18151.86
428,1,0,0
428,2,15.6,15.6
428,3,119.6,119.6
428,4,409.2,409.2
428,5,857.3,857.3
428,6,1363.2,1363.2
429,1,0,0
429,2,0,0
429,3,1,1
429,4,12.11,12.11
429,5,82.39,82.39
429,6,114.22,114.22
430,1,0,0
430,2,19.45,19.45
430,3,99,99
430,4,277.48,277.48
430,5,1462.41,1462.41
430,6,2124.28,2124.28
431,1,0,0
431,2,67.67,67.67
431,3,201.47,201.47
431,4,609.4,609.4
431,5,1172.27,1172.27
431,6,1082.93,1082.93
432,1,0,0
432,2,0.8,0.8
432,3,26.2,26.2
432,4,62,62
432,5,316.4,316.4
432,6,405.2,405.2
433,1,0,0
433,2,20.11,20.11
433,3,99.79,99.79
433,4,284.75,284.75
433,5,1489.18,1489.18
433,6,2137.25,2137.25
434,1,0,0
434,2,19.89,19.89
434,3,136.32,136.32
434,4,325.21,325.21
434,5,2224.21,2224.21
434,6,1769.84,1769.84
435,1,0,0
435,2,20.81,20.81
435,3,103.37,103.37
435,4,293.89,293.89
435,5,1524.7,1524.7
435,6,2178.44,2178.44
436,1,0,0
436,2,5.22,5.22
436,3,64.56,64.56
436,4,82,82
436,5,725.78,725.78
436,6,1443.67,1443.67
437,1,0,0
437,2,874,874
437,3,3633.89,3633.89
437,4,7226.37,7226.37
437,5,11926.63,11926.63
437,6,14100.63,14100.63
438,1,0,0
438,2,0,0
438,3,14.25,14.25
438,4,12.25,12.25
438,5,12.25,12.25
438,6,10.75,10.75
439,1,0,0
439,2,0,0
439,3,0,0
439,4,0,0
439,5,0,0
439,6,0,0
440,1,0,0
440,2,0,0
440,3,1.06,1.06
440,4,12.65,12.65
440,5,86.41,86.41
440,6,118.47,118.47
441,1,0,0
441,2,5.88,5.88
441,3,68,68
441,4,84.38,84.38
441,5,791.5,791.5
441,6,1571.62,1571.62
442,1,0,0
442,2,0,0
442,3,1.06,1.06
442,4,13.31,13.31
442,5,87.38,87.38
442,6,121.12,121.12
443,1,0,0
443,2,0,0
443,3,1.07,1.07
443,4,14,14
443,5,92.47,92.47
443,6,127.2,127.2
444,1,0,0
444,2,0,0
444,3,14.43,14.43
444,4,54.29,54.29
444,5,49.71,49.71
444,6,17.43,17.43
445,1,0,0
445,2,0,0
445,3,1.07,1.07
445,4,14.86,14.86
445,5,97.29,97.29
445,6,133,133
446,1,0,0
446,2,0,0
446,3,1.15,1.15
446,4,15.77,15.77
446,5,100.69,100.69
446,6,137.92,137.92
447,1,0,0
447,2,0,0
447,3,1.25,1.25
447,4,16.08,16.08
447,5,106.75,106.75
447,6,147.75,147.75
448,1,0,0
448,2,18.92,18.92
448,3,97.38,97.38
448,4,233.73,233.73
448,5,1127.96,1127.96
448,6,1597.58,1597.58
449,1,0,0
449,2,59.9,59.9
449,3,29.1,29.1
449,4,168.9,168.9
449,5,606.4,606.4
449,6,1274.4,1274.4
450,1,0,0
450,2,0,0
450,3,4,4
450,4,12,12
450,5,3,3
450,6,7,7
451,1,0,0
451,2,20.56,20.56
451,3,136.61,136.61
451,4,336.39,336.39
451,5,2298.06,2298.06
451,6,1803.72,1803.72
452,1,0,0
452,2,19.94,19.94
452,3,130.59,130.59
452,4,337.29,337.29
452,5,2346.06,2346.06
452,6,1735.71,1735.71
453,1,0,0
453,2,56.95,56.95
453,3,172.65,172.65
453,4,1286.35,1286.35
453,5,3724.8,3724.8
453,6,2990.5,2990.5
454,1,0,0
454,2,19.56,19.56
454,3,97.92,97.92
454,4,236,236
454,5,1131.72,1131.72
454,6,1583.6,1583.6
455,1,0,0
455,2,0.78,0.78
455,3,44.89,44.89
455,4,139.33,139.33
455,5,590.78,590.78
455,6,1969.78,1969.78
456,1,0,0
456,2,3,0
456,3,142,0
456,4,1124,0
456,5,3813,0
456,6,9376,0
457,1,0,0
457,2,16.78,16.78
457,3,120.89,120.89
457,4,420.22,420.22
457,5,893.56,893.56
457,6,1395.22,1395.22
458,1,0,0
458,2,69.86,69.86
458,3,210.93,210.93
458,4,648.93,648.93
458,5,1236.86,1236.86
458,6,1145.79,1145.79
459,1,0,0
459,2,20.25,20.25
459,3,101.08,101.08
459,4,243.54,243.54
459,5,1168.62,1168.62
459,6,1640.42,1640.42
460,1,0,0
460,2,20.78,20.78
460,3,101,101
460,4,245.17,245.17
460,5,1191.13,1191.13
460,6,1680.61,1680.61
461,1,0,0
461,2,3.8,3.8
461,3,142.4,142.4
461,4,431.4,431.4
461,5,2430.8,2430.8
461,6,3593.4,3593.4
462,1,0,0
462,2,38.6,38.6
462,3,261.6,261.6
462,4,754.4,754.4
462,5,3157.4,3157.4
462,6,3913.6,3913.6
463,1,0,0
463,2,3.33,3.33
463,3,61.44,61.44
463,4,169.44,169.44
463,5,802.78,802.78
463,6,2132.89,2132.89
464,1,0,0
464,2,0,0
464,3,1.5,1.5
464,4,12.5,12.5
464,5,4,4
464,6,4.5,4.5
465,1,0,0
465,2,0.5,0.5
465,3,27.75,27.75
465,4,73.25,73.25
465,5,337.5,337.5
465,6,462.5,462.5
466,1,0,0
466,2,14.21,14.21
466,3,67.25,67.25
466,4,93.75,93.75
466,5,263.42,263.42
466,6,357.96,357.96
467,1,0,0
467,2,12.78,12.78
467,3,68.48,68.48
467,4,93.87,93.87
467,5,260.35,260.35
467,6,356.04,356.04
468,1,0,0
468,2,6.89,6.89
468,3,275.78,275.78
468,4,485,485
468,5,3245.44,3245.44
468,6,5037.33,5037.33
469,1,0,0
469,2,0,0
469,3,0,0
469,4,0,0
469,5,0,0
469,6,0,0
470,1,0,0
470,2,64.44,64.44
470,3,32.11,32.11
470,4,184.44,184.44
470,5,654.11,654.11
470,6,1356.78,1356.78
471,1,0,0
471,2,19.64,19.64
471,3,101.14,101.14
471,4,239.23,239.23
471,5,1211.77,1211.77
471,6,1697.5,1697.5
472,1,0,0
472,2,20.57,20.57
472,3,102.95,102.95
472,4,240.67,240.67
472,5,1244.9,1244.9
472,6,1733.76,1733.76
473,1,0,0
473,2,2.62,2.62
473,3,57.88,57.88
473,4,160.38,160.38
473,5,829.88,829.88
473,6,1938,1938
474,1,0,0
474,2,12.35,12.35
474,3,92.25,92.25
474,4,206.4,206.4
474,5,1248.05,1248.05
474,6,1709.25,1709.25
475,1,0,0
475,2,70.62,70.62
475,3,218.69,218.69
475,4,678.69,678.69
475,5,1275.46,1275.46
475,6,1192.62,1192.62
476,1,0,0
476,2,12.79,12.79
476,3,95.32,95.32
476,4,206.84,206.84
476,5,1268.68,1268.68
476,6,1765.21,1765.21
477,1,0,0
477,2,65.62,65.62
477,3,34.88,34.88
477,4,198.25,198.25
477,5,677.38,677.38
477,6,1402.62,1402.62
478,1,0,0
478,2,0,0
478,3,16.83,16.83
478,4,62.67,62.67
478,5,55.67,55.67
478,6,18.5,18.5
479,1,0,0
479,2,0,0
479,3,15.6,15.6
479,4,59.6,59.6
479,5,30.4,30.4
479,6,15.2,15.2
480,1,0,0
480,2,11.61,11.61
480,3,92.39,92.39
480,4,194.5,194.5
480,5,1235.56,1235.56
480,6,1689.39,1689.39
481,1,0,0
481,2,76.42,76.42
481,3,236.58,236.58
481,4,728.58,728.58
481,5,1351,1351
481,6,1242.67,1242.67
482,1,0,0
482,2,12.82,12.82
482,3,66.36,66.36
482,4,61.55,61.55
482,5,232.68,232.68
482,6,356.86,356.86
483,1,0,0
483,2,348.11,348.11
483,3,1630,1630
483,4,5542.44,5542.44
483,5,10798.33,10798.33
483,6,13301.33,13301.33
484,1,0,0
484,2,0.88,0.88
484,3,36.75,36.75
484,4,155.12,155.12
484,5,657.12,657.12
484,6,2185.75,2185.75
485,1,0,0
485,2,17.81,17.81
485,3,129.81,129.81
485,4,338.81,338.81
485,5,2421.69,2421.69
485,6,1797.88,1797.88
486,1,0,0
486,2,42.56,42.56
486,3,273.89,273.89
486,4,815.89,815.89
486,5,3384.33,3384.33
486,6,4101.44,4101.44
487,1,0,0
487,2,11.82,11.82
487,3,90.82,90.82
487,4,190.06,190.06
487,5,1268.82,1268.82
487,6,1704,1704
488,1,0,0
488,2,18,18
488,3,129.8,129.8
488,4,323.67,323.67
488,5,2390.53,2390.53
488,6,1725.33,1725.33
489,1,0,0
489,2,7.62,7.62
489,3,307.12,307.12
489,4,457.88,457.88
489,5,2762.62,2762.62
489,6,3983.12,3983.12
490,1,0,0
490,2,3,3
490,3,65.86,65.86
490,4,170.86,170.86
490,5,905.57,905.57
490,6,2077.57,2077.57
491,1,0,0
491,2,47.38,47.38
491,3,287.38,287.38
491,4,886.62,886.62
491,5,3633.88,3633.88
491,6,4295.62,4295.62
492,1,0,0
492,2,59.79,59.79
492,3,178.63,178.63
492,4,1341.37,1341.37
492,5,3873.37,3873.37
492,6,3046.32,3046.32
493,1,0,0
493,2,53.5,53.5
493,3,216.5,216.5
493,4,271.25,271.25
493,5,578.5,578.5
493,6,553.88,553.88
494,1,0,0
494,2,356.24,356.24
494,3,1687.53,1687.53
494,4,5806.53,5806.53
494,5,10973.88,10973.88
494,6,12530.41,12530.41
495,1,0,0
495,2,1.67,1.67
495,3,87.33,87.33
495,4,123.5,123.5
495,5,362.5,362.5
495,6,807.33,807.33
496,1,0,0
496,2,17.21,17.21
496,3,133.36,133.36
496,4,319.29,319.29
496,5,2363.79,2363.79
496,6,1742.93,1742.93
497,1,0,0
497,2,62.11,62.11
497,3,187.72,187.72
497,4,1411.33,1411.33
497,5,4040.83,4040.83
497,6,3133.33,3133.33
498,1,0,0
498,2,0,0
498,3,1.09,1.09
498,4,16.09,16.09
498,5,102.64,102.64
498,6,158.45,158.45
499,1,0,0
499,2,375,375
499,3,1783.81,1783.81
499,4,6146.44,6146.44
499,5,11487.06,11487.06
499,6,12965.81,12965.81
500,1,0,0
500,2,399.27,399.27
500,3,1901,1901
500,4,6540.8,6540.8
500,5,12207.13,12207.13
500,6,13683.27,13683.27
501,1,0,0
501,2,1,1
501,3,42,42
501,4,163.43,163.43
501,5,732.86,732.86
501,6,2448.29,2448.29
502,1,0,0
502,2,83.27,83.27
502,3,257,257
502,4,787.27,787.27
502,5,1443,1443
502,6,1334.27,1334.27
503,1,0,0
503,2,13.43,13.43
503,3,68.67,68.67
503,4,63.62,63.62
503,5,233.95,233.95
503,6,360.24,360.24
504,1,0,0
504,2,383.5,383.5
504,3,1962.93,1962.93
504,4,6629.79,6629.79
504,5,12053,12053
504,6,13036.43,13036.43
505,1,0,0
505,2,91.1,91.1
505,3,279.6,279.6
505,4,844.8,844.8
505,5,1545.2,1545.2
505,6,1440,1440
506,1,0,0
506,2,16.92,16.92
506,3,131.77,131.77
506,4,314.46,314.46
