districtid,statemean,statestdev
340,2555.48,2539.0
341,3464.95,4260.63
342,24831.38,44308.72
343,25589.91,44181.95
344,2576.3,3039.39
345,7869.86,10612.21
346,1939.05,2064.43
347,3008.34,6207.04
348,2139.91,2360.55
349,3888.68,3353.58
350,1533.74,2906.49
351,1571.33,2900.2
352,3431.99,4266.38
353,3867.86,3364.67
354,1327.88,2386.59
355,3456.24,3432.07
356,2564.21,3043.35
357,3420.65,4263.94
358,8043.5,10517.6
359,4087.38,4613.16
360,2584.97,3035.54
361,3484.24,3412.8
362,2231.85,2455.89
363,3051.16,6204.01
364,1571.37,2900.19
365,3898.3,3346.77
366,3457.71,3431.18
367,12965.72,25386.56
368,4088.52,4612.54
369,8032.91,10525.28
370,11080.61,22646.85
371,196.4,329.8
372,10765.78,22625.76
373,4060.41,4625.42
374,541.09,429.29
375,3461.14,4262.28
376,6167.54,3860.85
377,3467.59,4259.34
378,3262.26,3984.22
379,10988.67,22657.43
380,2844.48,2736.81
381,4841.67,6799.83
382,2598.91,3027.57
383,1670,0
384,3346.81,3458.86
385,11219.83,22604.5
386,6044.38,3898.71
387,3471.77,4257.05
388,2141.05,2152.29
389,3804.62,3368.3
390,1331.96,2385.4
391,3471,4257.5
392,4068.86,4622.09
393,4062.62,4624.59
394,3871.14,3363.25
395,1323.5,2387.45
396,1308.62,2387.19
397,3079.03,6196.79
398,3432.62,3420.27
399,1913.86,1395.05
400,2122.96,2370.87
401,625,425.65
402,406.7,600.96
403,3871.92,3362.89
404,2178.11,2126.77
405,13346.55,25296.83
406,2086.26,2383.15
407,283.5,539.17
408,13269.07,25329.03
409,87.1,182.71
410,24992.35,44319.84
411,6131.27,7494.71
412,6105.54,3886.79
413,1575.93,2898.49
414,13143.45,25366.08
415,4004.72,4635.75
416,1556.52,2904.31
417,1571.96,2899.98
418,2436.36,2984.68
419,6124.92,3880.19
420,5987.46,3897.71
421,196.36,329.82
422,38790.92,10883.85
423,11199.92,22612.51
424,2091.47,2166.23
425,607.91,442.17
426,2077.68,2166.06
427,36301,11922.86
428,3417.52,3450.31
429,196.24,329.89
430,3436.86,4266.73
431,3067.06,6200.4
432,633.64,413.85
433,3449.54,4265.7
434,3883.7,3356.68
435,3463.45,4261.31
436,2114.78,2374.79
437,25450.15,44239.55
438,102.1,183.65
439,1306,0
440,194.16,330.91
441,2130.22,2366.81
442,190.52,331.87
443,194.72,330.67
444,407.5,600.43
445,193.56,331.14
446,191.52,331.71
447,194.12,330.93
448,3061.95,2750.88
449,2358.14,1903.31
450,93.2,184.72
451,3872.05,3362.83
452,3798.68,3366.32
453,10863.22,22649.6
454,3441.18,4266.7
455,1561.07,2903.27
456,5145.67,6596.93
457,3426.71,3446.86
458,3090.94,6192.45
459,3477.65,4253.31
460,3462.27,4261.81
461,5696.62,3706.28
462,7823.14,10626.39
463,4055.28,4627.21
464,101.9,183.72
465,593.73,449.55
466,1336.63,2383.59
467,1324.6,2387.27
468,13178.72,25357.57
469,0,0
470,2878.33,2715.12
471,3450.35,4265.54
472,3461.73,4262.04
473,3982.72,4634.29
474,3419.7,4263.63
475,3057.47,6202.74
476,3461.54,4262.11
477,2838.48,2739.67
478,405.3,601.85
479,376.4,612.2
480,3409.27,4259.21
481,3078.03,6197.13
482,1301.02,2385.17
483,21372.74,38780.32
484,1576.3,2898.35
485,3870.19,3363.67
486,7888.82,10605.1
487,3451.14,4265.37
488,3759.41,3343.13
489,12669.17,25337.57
490,4095.45,4608.57
491,7858.68,10616.04
492,11181.67,22619.27
493,2545.21,3046.26
494,24671.82,44277.48
495,1722.67,1914.45
496,3806.65,3368.88
497,11200.58,22612.25
498,188.48,331.96
499,25472.94,44231.22
500,25641.76,44156.62
501,1570.85,2900.37
502,3089.78,6192.9
503,1332,2385.39
504,24438.97,44195.68
505,3081.16,6196.07
506,3872.7,3362.53
507,4027.55,4633.95
508,1316.75,2387.94
509,11217.42,22605.5
510,1338.23,2382.85
511,6371.5,8499.95
512,288.1,545.76
513,1894,1405.11
514,4116.31,4594.71
515,3487.05,3410.58
516,25526.21,44210.13
517,195.4,330.34
518,2137.7,2362.07
519,6104,3887.26
520,2080.87,2383.81
521,24925.65,44317.72
522,2490,3031.83
523,3448,3436.76
524,3384.14,3458.32
525,3060.88,6201.97
526,3312.95,3451.68
527,1336.52,2383.64
528,129.4,134.04
529,25640.5,44157.26
530,7863,10614.59
531,7807.18,10630.15
532,3076.22,6197.71
533,6186.69,3849.98
534,2846.9,2735.56
535,2581.52,2586.75
536,3332.41,1385.47
537,1931.08,1931.85
538,11230.03,22600.15
539,373.5,612.4
540,404.8,602.16
541,3450.55,4265.49
542,1957.83,1912.82
543,3100.34,6188.48
544,37946.92,12022.88
545,2617.97,3013.1
546,3456.45,4263.94
547,3332.53,4166.77
548,348.67,446.55
549,11086.06,22645.79
550,2048.11,2159.77
551,2170.42,2133.14
552,20043.26,33234.7
553,7918,10592.63
554,7737.09,10640.11
555,3993.55,4635.4
556,3814.38,3370.68
557,7982.23,10558.58
558,3462.72,4261.63
559,13122.62,25370.41
560,24735.09,44292.27
561,1503.41,2901.64
562,1018.15,981.22
563,1328.44,2386.45
564,1324.81,2387.24
565,2939.84,6191.59
566,1477.15,2890.24
567,2143.84,2150.82
568,2579.85,3037.92
569,13276.97,25326.08
570,11132.19,22634.86
571,2159.32,2141.35
572,2070.22,2384.25
573,3434.57,4266.62
574,1709.48,1593.72
575,1319.67,2387.85
576,25592.85,44180.57
577,3962.41,4630.17
578,2172.58,2131.41
579,1325.6,2387.09
580,3338.19,3457.73
581,262,551.54
